macro,logical_key,value,source
ValAblationCloudGateOffDelta,AblationCloudGateOffDelta,0.009,benchmark_values_consolidated.csv
ValAblationCloudGateOffHigh,AblationCloudGateOffHigh,0.011,benchmark_values_consolidated.csv
ValAblationCloudGateOffLow,AblationCloudGateOffLow,0.007,benchmark_values_consolidated.csv
ValAblationGatesOffDelta,AblationGatesOffDelta,0.014,benchmark_values_consolidated.csv
ValAblationGatesOffHigh,AblationGatesOffHigh,0.016,benchmark_values_consolidated.csv
ValAblationGatesOffLow,AblationGatesOffLow,0.012,benchmark_values_consolidated.csv
ValAblationNoOpacityClampDelta,AblationNoOpacityClampDelta,0.011,benchmark_values_consolidated.csv
ValAblationNoOpacityClampHigh,AblationNoOpacityClampHigh,0.013,benchmark_values_consolidated.csv
ValAblationNoOpacityClampLow,AblationNoOpacityClampLow,0.009,benchmark_values_consolidated.csv
ValAblationNoSARStreamDelta,AblationNoSARStreamDelta,0.031,benchmark_values_consolidated.csv
ValAblationNoSARStreamHigh,AblationNoSARStreamHigh,0.033,benchmark_values_consolidated.csv
ValAblationNoSARStreamLow,AblationNoSARStreamLow,0.029,benchmark_values_consolidated.csv
ValAblationNoStructuralFallbackDelta,AblationNoStructuralFallbackDelta,0.013,benchmark_values_consolidated.csv
ValAblationNoStructuralFallbackHigh,AblationNoStructuralFallbackHigh,0.015,benchmark_values_consolidated.csv
ValAblationNoStructuralFallbackLow,AblationNoStructuralFallbackLow,0.011,benchmark_values_consolidated.csv
ValAblationSARReliabilityOffDelta,AblationSARReliabilityOffDelta,0.007,benchmark_values_consolidated.csv
ValAblationSARReliabilityOffHigh,AblationSARReliabilityOffHigh,0.009,benchmark_values_consolidated.csv
ValAblationSARReliabilityOffLow,AblationSARReliabilityOffLow,0.005,benchmark_values_consolidated.csv
ValAblationSafetyWeightOffDelta,AblationSafetyWeightOffDelta,0.008,benchmark_values_consolidated.csv
ValAblationSafetyWeightOffHigh,AblationSafetyWeightOffHigh,0.010,benchmark_values_consolidated.csv
ValAblationSafetyWeightOffLow,AblationSafetyWeightOffLow,0.006,benchmark_values_consolidated.csv
ValAblationSameDateTargetsDelta,AblationSameDateTargetsDelta,0.023,benchmark_values_consolidated.csv
ValAblationSameDateTargetsHigh,AblationSameDateTargetsHigh,0.025,benchmark_values_consolidated.csv
ValAblationSameDateTargetsLow,AblationSameDateTargetsLow,0.021,benchmark_values_consolidated.csv
ValAblationUniformMaskingDelta,AblationUniformMaskingDelta,0.019,benchmark_values_consolidated.csv
ValAblationUniformMaskingHigh,AblationUniformMaskingHigh,0.021,benchmark_values_consolidated.csv
ValAblationUniformMaskingLow,AblationUniformMaskingLow,0.017,benchmark_values_consolidated.csv
ValCROMAAUPRCTwentyFive,CROMAAUPRCTwentyFive,0.313,benchmark_main_summary.csv
ValCROMAFOneTwentyFive,CROMAFOneTwentyFive,0.448,benchmark_main_summary.csv
ValCROMAGFLOPs,CROMAGFLOPs,93.6,benchmark_compute.csv
ValCROMAIoUFifty,CROMAIoUFifty,0.311,benchmark_main_summary.csv
ValCROMAIoUTen,CROMAIoUTen,0.267,benchmark_main_summary.csv
ValCROMAIoUTwentyDeletion,CROMAIoUTwentyDeletion,0.240,benchmark_main_summary.csv
ValCROMAIoUTwentyFive,CROMAIoUTwentyFive,0.289,benchmark_main_summary.csv
ValCROMALatencyMean,CROMALatencyMean,24.2,benchmark_compute.csv
ValCROMALatencyPNineFive,CROMALatencyP95,31.0,benchmark_compute.csv
ValCROMAModelSize,CROMAModelSize,117,benchmark_compute.csv
ValCROMAParams,CROMAParams,29.3,benchmark_compute.csv
ValCROMAPretrainHours,CROMAPretrainHours,72.0,benchmark_compute.csv
ValCROMARetentionTwentyDeletion,CROMARetentionTwentyDeletion,0.831,benchmark_label_noise.csv
ValCROMAThroughput,CROMAThroughput,41.3,benchmark_compute.csv
ValCROMAVRAM,CROMAVRAM,2.6,benchmark_compute.csv
ValCityDakarCROMA,CityDakarCROMA,0.334,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDakarDelta,CityDakarDelta,0.022,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDakarOAMAE,CityDakarOAMAE,0.355,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDarEsSalaamCROMA,CityDarEsSalaamCROMA,0.267,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDarEsSalaamDelta,CityDarEsSalaamDelta,0.031,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDarEsSalaamOAMAE,CityDarEsSalaamOAMAE,0.298,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDoualaCROMA,CityDoualaCROMA,0.253,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDoualaDelta,CityDoualaDelta,0.032,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityDoualaOAMAE,CityDoualaOAMAE,0.285,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityGarouaCROMA,CityGarouaCROMA,0.303,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityGarouaDelta,CityGarouaDelta,0.025,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityGarouaOAMAE,CityGarouaOAMAE,0.328,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityKigaliCROMA,CityKigaliCROMA,0.295,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityKigaliDelta,CityKigaliDelta,0.024,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityKigaliOAMAE,CityKigaliOAMAE,0.319,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityYaoundeCROMA,CityYaoundeCROMA,0.282,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityYaoundeDelta,CityYaoundeDelta,0.029,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCityYaoundeOAMAE,CityYaoundeOAMAE,0.312,benchmark_primary_comparison.json; benchmark_main_runs.csv
ValCloudGainClear,CloudGainClear,0.017,benchmark_cloud_stratified.csv
ValCloudGainLowModerate,CloudGainLowModerate,0.024,benchmark_cloud_stratified.csv
ValCloudGainModerate,CloudGainModerate,0.036,benchmark_cloud_stratified.csv
ValCloudGainSevere,CloudGainSevere,0.055,benchmark_cloud_stratified.csv
ValConditionalPrecision,ConditionalPrecision,0.740,benchmark_abstention_risk.csv
ValConditionalRecall,ConditionalRecall,0.660,benchmark_abstention_risk.csv
ValCoverage,Coverage,0.620,benchmark_abstention_risk.csv
ValEndToEndHumanReview,EndToEndHumanReview,0.712,benchmark_abstention_risk.csv
ValEndToEndNoFollowup,EndToEndNoFollowup,0.376,benchmark_abstention_risk.csv
ValEndToEndReacquisition,EndToEndReacquisition,0.613,benchmark_abstention_risk.csv
ValEndToEndSARFallback,EndToEndSARFallback,0.514,benchmark_abstention_risk.csv
ValGoldSubsetDelta,GoldSubsetDelta,0.031,gold_subset_delta.json
ValGoldSubsetDeltaHigh,GoldSubsetDeltaHigh,0.033,gold_subset_delta.json
ValGoldSubsetDeltaLow,GoldSubsetDeltaLow,0.028,gold_subset_delta.json
ValGoldSubsetPositiveShare,GoldSubsetPositiveShare,94.6,gold_subset_delta.json
ValGoldSubsetTiles,GoldSubsetTiles,240,gold_subset_delta.json
ValInventoryPerCity,InventoryPerCity,110,benchmark_inventory.csv
ValInventoryTest,InventoryTest,180,benchmark_inventory.csv
ValInventoryTotal,InventoryTotal,660,benchmark_inventory.csv
ValInventoryTrainPool,InventoryTrainPool,480,benchmark_inventory.csv
ValMaskCloudSTwoMaskClassGap,MaskCloudS2MaskClassGap,0.020,benchmark_cloud_mask_sensitivity.csv
ValMaskCloudSTwoMaskDelta,MaskCloudS2MaskDelta,0.034,benchmark_cloud_mask_sensitivity.csv
ValMaskCloudSTwoMaskPositiveCoverage,MaskCloudS2MaskPositiveCoverage,0.590,benchmark_cloud_mask_sensitivity.csv
ValMaskCloudSENOneTwoClassGap,MaskCloudSEN12ClassGap,0.020,benchmark_cloud_mask_sensitivity.csv
ValMaskCloudSENOneTwoDelta,MaskCloudSEN12Delta,0.031,benchmark_cloud_mask_sensitivity.csv
ValMaskCloudSENOneTwoPositiveCoverage,MaskCloudSEN12PositiveCoverage,0.610,benchmark_cloud_mask_sensitivity.csv
ValMaskSTwoCloudProbabilityClassGap,MaskS2CloudProbabilityClassGap,0.030,benchmark_cloud_mask_sensitivity.csv
ValMaskSTwoCloudProbabilityDelta,MaskS2CloudProbabilityDelta,0.033,benchmark_cloud_mask_sensitivity.csv
ValMaskSTwoCloudProbabilityPositiveCoverage,MaskS2CloudProbabilityPositiveCoverage,0.570,benchmark_cloud_mask_sensitivity.csv
ValOAMAEAUPRCTwentyFive,OAMAEAUPRCTwentyFive,0.340,benchmark_main_summary.csv
ValOAMAEFOneTwentyFive,OAMAEFOneTwentyFive,0.480,benchmark_main_summary.csv
