sample_id,city,timepoint,sensor,source_mode
SCN_dak_0058,dak,T1,S2,reference
SCN_dak_0058,dak,T2,S2,reference
SCN_dak_0058,dak,T1,S1,reference
SCN_dak_0058,dak,T2,S1,reference
SCN_dak_0058,dak,T1,CLOUD,reference
SCN_dak_0058,dak,T2,CLOUD,reference
SCN_dak_0059,dak,T1,S2,reference
SCN_dak_0059,dak,T2,S2,reference
SCN_dak_0059,dak,T1,S1,reference
SCN_dak_0059,dak,T2,S1,reference
SCN_dak_0059,dak,T1,CLOUD,reference
SCN_dak_0059,dak,T2,CLOUD,reference
SCN_dak_0060,dak,T1,S2,reference
SCN_dak_0060,dak,T2,S2,reference
SCN_dak_0060,dak,T1,S1,reference
SCN_dak_0060,dak,T2,S1,reference
SCN_dak_0060,dak,T1,CLOUD,reference
SCN_dak_0060,dak,T2,CLOUD,reference
SCN_dak_0061,dak,T1,S2,reference
SCN_dak_0061,dak,T2,S2,reference
SCN_dak_0061,dak,T1,S1,reference
SCN_dak_0061,dak,T2,S1,reference
SCN_dak_0061,dak,T1,CLOUD,reference
SCN_dak_0061,dak,T2,CLOUD,reference
SCN_dak_0062,dak,T1,S2,reference
SCN_dak_0062,dak,T2,S2,reference
SCN_dak_0062,dak,T1,S1,reference
SCN_dak_0062,dak,T2,S1,reference
SCN_dak_0062,dak,T1,CLOUD,reference
SCN_dak_0062,dak,T2,CLOUD,reference
SCN_dak_0063,dak,T1,S2,reference
SCN_dak_0063,dak,T2,S2,reference
SCN_dak_0063,dak,T1,S1,reference
SCN_dak_0063,dak,T2,S1,reference
SCN_dak_0063,dak,T1,CLOUD,reference
SCN_dak_0063,dak,T2,CLOUD,reference
SCN_dak_0064,dak,T1,S2,reference
SCN_dak_0064,dak,T2,S2,reference
SCN_dak_0064,dak,T1,S1,reference
SCN_dak_0064,dak,T2,S1,reference
SCN_dak_0064,dak,T1,CLOUD,reference
SCN_dak_0064,dak,T2,CLOUD,reference
SCN_dak_0065,dak,T1,S2,reference
SCN_dak_0065,dak,T2,S2,reference
SCN_dak_0065,dak,T1,S1,reference
SCN_dak_0065,dak,T2,S1,reference
SCN_dak_0065,dak,T1,CLOUD,reference
SCN_dak_0065,dak,T2,CLOUD,reference
SCN_dak_0066,dak,T1,S2,reference
SCN_dak_0066,dak,T2,S2,reference
SCN_dak_0066,dak,T1,S1,reference
SCN_dak_0066,dak,T2,S1,reference
SCN_dak_0066,dak,T1,CLOUD,reference
SCN_dak_0066,dak,T2,CLOUD,reference
SCN_dak_0067,dak,T1,S2,reference
SCN_dak_0067,dak,T2,S2,reference
SCN_dak_0067,dak,T1,S1,reference
SCN_dak_0067,dak,T2,S1,reference
SCN_dak_0067,dak,T1,CLOUD,reference
SCN_dak_0067,dak,T2,CLOUD,reference
SCN_dak_0068,dak,T1,S2,reference
SCN_dak_0068,dak,T2,S2,reference
SCN_dak_0068,dak,T1,S1,reference
SCN_dak_0068,dak,T2,S1,reference
SCN_dak_0068,dak,T1,CLOUD,reference
SCN_dak_0068,dak,T2,CLOUD,reference
SCN_dak_0069,dak,T1,S2,reference
SCN_dak_0069,dak,T2,S2,reference
SCN_dak_0069,dak,T1,S1,reference
SCN_dak_0069,dak,T2,S1,reference
SCN_dak_0069,dak,T1,CLOUD,reference
SCN_dak_0069,dak,T2,CLOUD,reference
SCN_dar_0058,dar,T1,S2,reference
SCN_dar_0058,dar,T2,S2,reference
SCN_dar_0058,dar,T1,S1,reference
SCN_dar_0058,dar,T2,S1,reference
SCN_dar_0058,dar,T1,CLOUD,reference
SCN_dar_0058,dar,T2,CLOUD,reference
SCN_dar_0059,dar,T1,S2,reference
SCN_dar_0059,dar,T2,S2,reference
SCN_dar_0059,dar,T1,S1,reference
SCN_dar_0059,dar,T2,S1,reference
SCN_dar_0059,dar,T1,CLOUD,reference
SCN_dar_0059,dar,T2,CLOUD,reference
SCN_dar_0060,dar,T1,S2,reference
SCN_dar_0060,dar,T2,S2,reference
SCN_dar_0060,dar,T1,S1,reference
SCN_dar_0060,dar,T2,S1,reference
SCN_dar_0060,dar,T1,CLOUD,reference
SCN_dar_0060,dar,T2,CLOUD,reference
SCN_dar_0061,dar,T1,S2,reference
SCN_dar_0061,dar,T2,S2,reference
SCN_dar_0061,dar,T1,S1,reference
SCN_dar_0061,dar,T2,S1,reference
SCN_dar_0061,dar,T1,CLOUD,reference
SCN_dar_0061,dar,T2,CLOUD,reference
SCN_dar_0062,dar,T1,S2,reference
SCN_dar_0062,dar,T2,S2,reference
SCN_dar_0062,dar,T1,S1,reference
SCN_dar_0062,dar,T2,S1,reference
SCN_dar_0062,dar,T1,CLOUD,reference
SCN_dar_0062,dar,T2,CLOUD,reference
SCN_dar_0063,dar,T1,S2,reference
SCN_dar_0063,dar,T2,S2,reference
SCN_dar_0063,dar,T1,S1,reference
SCN_dar_0063,dar,T2,S1,reference
SCN_dar_0063,dar,T1,CLOUD,reference
SCN_dar_0063,dar,T2,CLOUD,reference
SCN_dar_0064,dar,T1,S2,reference
SCN_dar_0064,dar,T2,S2,reference
SCN_dar_0064,dar,T1,S1,reference
SCN_dar_0064,dar,T2,S1,reference
SCN_dar_0064,dar,T1,CLOUD,reference
SCN_dar_0064,dar,T2,CLOUD,reference
SCN_dar_0065,dar,T1,S2,reference
SCN_dar_0065,dar,T2,S2,reference
SCN_dar_0065,dar,T1,S1,reference
SCN_dar_0065,dar,T2,S1,reference
SCN_dar_0065,dar,T1,CLOUD,reference
SCN_dar_0065,dar,T2,CLOUD,reference
SCN_dar_0066,dar,T1,S2,reference
SCN_dar_0066,dar,T2,S2,reference
SCN_dar_0066,dar,T1,S1,reference
SCN_dar_0066,dar,T2,S1,reference
SCN_dar_0066,dar,T1,CLOUD,reference
SCN_dar_0066,dar,T2,CLOUD,reference
SCN_dar_0067,dar,T1,S2,reference
SCN_dar_0067,dar,T2,S2,reference
SCN_dar_0067,dar,T1,S1,reference
SCN_dar_0067,dar,T2,S1,reference
SCN_dar_0067,dar,T1,CLOUD,reference
SCN_dar_0067,dar,T2,CLOUD,reference
SCN_dar_0068,dar,T1,S2,reference
SCN_dar_0068,dar,T2,S2,reference
SCN_dar_0068,dar,T1,S1,reference
SCN_dar_0068,dar,T2,S1,reference
SCN_dar_0068,dar,T1,CLOUD,reference
SCN_dar_0068,dar,T2,CLOUD,reference
SCN_dar_0069,dar,T1,S2,reference
SCN_dar_0069,dar,T2,S2,reference
SCN_dar_0069,dar,T1,S1,reference
SCN_dar_0069,dar,T2,S1,reference
SCN_dar_0069,dar,T1,CLOUD,reference
SCN_dar_0069,dar,T2,CLOUD,reference
SCN_dou_0058,dou,T1,S2,reference
SCN_dou_0058,dou,T2,S2,reference
SCN_dou_0058,dou,T1,S1,reference
SCN_dou_0058,dou,T2,S1,reference
SCN_dou_0058,dou,T1,CLOUD,reference
SCN_dou_0058,dou,T2,CLOUD,reference
SCN_dou_0059,dou,T1,S2,reference
SCN_dou_0059,dou,T2,S2,reference
SCN_dou_0059,dou,T1,S1,reference
