sample_id,city,has_s2_t1,has_s2_t2,has_s1_t1,has_s1_t2,has_cloud_t1,has_cloud_t2
SCN_dak_0058,dak,True,True,True,True,True,True
SCN_dak_0059,dak,True,True,True,True,True,True
SCN_dak_0060,dak,True,True,True,True,True,True
SCN_dak_0061,dak,True,True,True,True,True,True
SCN_dak_0062,dak,True,True,True,True,True,True
SCN_dak_0063,dak,True,True,True,True,True,True
SCN_dak_0064,dak,True,True,True,True,True,True
SCN_dak_0065,dak,True,True,True,True,True,True
SCN_dak_0066,dak,True,True,True,True,True,True
SCN_dak_0067,dak,True,True,True,True,True,True
SCN_dak_0068,dak,True,True,True,True,True,True
SCN_dak_0069,dak,True,True,True,True,True,True
SCN_dar_0058,dar,True,True,True,True,True,True
SCN_dar_0059,dar,True,True,True,True,True,True
SCN_dar_0060,dar,True,True,True,True,True,True
SCN_dar_0061,dar,True,True,True,True,True,True
SCN_dar_0062,dar,True,True,True,True,True,True
SCN_dar_0063,dar,True,True,True,True,True,True
SCN_dar_0064,dar,True,True,True,True,True,True
SCN_dar_0065,dar,True,True,True,True,True,True
SCN_dar_0066,dar,True,True,True,True,True,True
SCN_dar_0067,dar,True,True,True,True,True,True
SCN_dar_0068,dar,True,True,True,True,True,True
SCN_dar_0069,dar,True,True,True,True,True,True
SCN_dou_0058,dou,True,True,True,True,True,True
SCN_dou_0059,dou,True,True,True,True,True,True
SCN_dou_0060,dou,True,True,True,True,True,True
SCN_dou_0061,dou,True,True,True,True,True,True
SCN_dou_0062,dou,True,True,True,True,True,True
SCN_dou_0063,dou,True,True,True,True,True,True
SCN_dou_0064,dou,True,True,True,True,True,True
SCN_dou_0065,dou,True,True,True,True,True,True
SCN_dou_0066,dou,True,True,True,True,True,True
SCN_dou_0067,dou,True,True,True,True,True,True
SCN_dou_0068,dou,True,True,True,True,True,True
SCN_dou_0069,dou,True,True,True,True,True,True
SCN_gar_0058,gar,True,True,True,True,True,True
SCN_gar_0059,gar,True,True,True,True,True,True
SCN_gar_0060,gar,True,True,True,True,True,True
SCN_gar_0061,gar,True,True,True,True,True,True
SCN_gar_0062,gar,True,True,True,True,True,True
SCN_gar_0063,gar,True,True,True,True,True,True
SCN_gar_0064,gar,True,True,True,True,True,True
SCN_gar_0065,gar,True,True,True,True,True,True
SCN_gar_0066,gar,True,True,True,True,True,True
SCN_gar_0067,gar,True,True,True,True,True,True
SCN_gar_0068,gar,True,True,True,True,True,True
SCN_gar_0069,gar,True,True,True,True,True,True
SCN_kig_0058,kig,True,True,True,True,True,True
SCN_kig_0059,kig,True,True,True,True,True,True
SCN_kig_0060,kig,True,True,True,True,True,True
SCN_kig_0061,kig,True,True,True,True,True,True
SCN_kig_0062,kig,True,True,True,True,True,True
SCN_kig_0063,kig,True,True,True,True,True,True
SCN_kig_0064,kig,True,True,True,True,True,True
SCN_kig_0065,kig,True,True,True,True,True,True
SCN_kig_0066,kig,True,True,True,True,True,True
SCN_kig_0067,kig,True,True,True,True,True,True
SCN_kig_0068,kig,True,True,True,True,True,True
SCN_kig_0069,kig,True,True,True,True,True,True
SCN_yao_0058,yao,True,True,True,True,True,True
SCN_yao_0059,yao,True,True,True,True,True,True
SCN_yao_0060,yao,True,True,True,True,True,True
SCN_yao_0061,yao,True,True,True,True,True,True
SCN_yao_0062,yao,True,True,True,True,True,True
SCN_yao_0063,yao,True,True,True,True,True,True
SCN_yao_0064,yao,True,True,True,True,True,True
SCN_yao_0065,yao,True,True,True,True,True,True
SCN_yao_0066,yao,True,True,True,True,True,True
SCN_yao_0067,yao,True,True,True,True,True,True
SCN_yao_0068,yao,True,True,True,True,True,True
SCN_yao_0069,yao,True,True,True,True,True,True
