left_out_city,few_shot_k,seed,train_count,test_count
dak,10,1,60,12
dak,10,2,60,12
dak,10,3,60,12
dak,10,4,60,12
dak,10,5,60,12
dak,10,6,60,12
dak,10,7,60,12
dak,10,8,60,12
dak,10,9,60,12
dak,10,10,60,12
dak,25,1,60,12
dak,25,2,60,12
dak,25,3,60,12
dak,25,4,60,12
dak,25,5,60,12
dak,25,6,60,12
dak,25,7,60,12
dak,25,8,60,12
dak,25,9,60,12
dak,25,10,60,12
dak,50,1,60,12
dak,50,2,60,12
dak,50,3,60,12
dak,50,4,60,12
dak,50,5,60,12
dak,50,6,60,12
dak,50,7,60,12
dak,50,8,60,12
dak,50,9,60,12
dak,50,10,60,12
dar,10,1,60,12
dar,10,2,60,12
dar,10,3,60,12
dar,10,4,60,12
dar,10,5,60,12
dar,10,6,60,12
dar,10,7,60,12
dar,10,8,60,12
dar,10,9,60,12
dar,10,10,60,12
dar,25,1,60,12
dar,25,2,60,12
dar,25,3,60,12
dar,25,4,60,12
dar,25,5,60,12
dar,25,6,60,12
dar,25,7,60,12
dar,25,8,60,12
dar,25,9,60,12
dar,25,10,60,12
dar,50,1,60,12
dar,50,2,60,12
dar,50,3,60,12
dar,50,4,60,12
dar,50,5,60,12
dar,50,6,60,12
dar,50,7,60,12
dar,50,8,60,12
dar,50,9,60,12
dar,50,10,60,12
dou,10,1,60,12
dou,10,2,60,12
dou,10,3,60,12
dou,10,4,60,12
dou,10,5,60,12
dou,10,6,60,12
dou,10,7,60,12
dou,10,8,60,12
dou,10,9,60,12
dou,10,10,60,12
dou,25,1,60,12
dou,25,2,60,12
dou,25,3,60,12
dou,25,4,60,12
dou,25,5,60,12
dou,25,6,60,12
dou,25,7,60,12
dou,25,8,60,12
dou,25,9,60,12
dou,25,10,60,12
dou,50,1,60,12
dou,50,2,60,12
dou,50,3,60,12
dou,50,4,60,12
dou,50,5,60,12
dou,50,6,60,12
dou,50,7,60,12
dou,50,8,60,12
dou,50,9,60,12
dou,50,10,60,12
gar,10,1,60,12
gar,10,2,60,12
gar,10,3,60,12
gar,10,4,60,12
gar,10,5,60,12
gar,10,6,60,12
gar,10,7,60,12
gar,10,8,60,12
gar,10,9,60,12
gar,10,10,60,12
gar,25,1,60,12
gar,25,2,60,12
gar,25,3,60,12
gar,25,4,60,12
gar,25,5,60,12
gar,25,6,60,12
gar,25,7,60,12
gar,25,8,60,12
gar,25,9,60,12
gar,25,10,60,12
gar,50,1,60,12
gar,50,2,60,12
gar,50,3,60,12
gar,50,4,60,12
gar,50,5,60,12
gar,50,6,60,12
gar,50,7,60,12
gar,50,8,60,12
gar,50,9,60,12
gar,50,10,60,12
kig,10,1,60,12
kig,10,2,60,12
kig,10,3,60,12
kig,10,4,60,12
kig,10,5,60,12
kig,10,6,60,12
kig,10,7,60,12
kig,10,8,60,12
kig,10,9,60,12
kig,10,10,60,12
kig,25,1,60,12
kig,25,2,60,12
kig,25,3,60,12
kig,25,4,60,12
kig,25,5,60,12
kig,25,6,60,12
kig,25,7,60,12
kig,25,8,60,12
kig,25,9,60,12
kig,25,10,60,12
kig,50,1,60,12
kig,50,2,60,12
kig,50,3,60,12
kig,50,4,60,12
kig,50,5,60,12
kig,50,6,60,12
kig,50,7,60,12
kig,50,8,60,12
kig,50,9,60,12
kig,50,10,60,12
yao,10,1,60,12
yao,10,2,60,12
yao,10,3,60,12
yao,10,4,60,12
yao,10,5,60,12
yao,10,6,60,12
yao,10,7,60,12
yao,10,8,60,12
yao,10,9,60,12
yao,10,10,60,12
yao,25,1,60,12
yao,25,2,60,12
yao,25,3,60,12
yao,25,4,60,12
yao,25,5,60,12
yao,25,6,60,12
yao,25,7,60,12
yao,25,8,60,12
yao,25,9,60,12
yao,25,10,60,12
yao,50,1,60,12
yao,50,2,60,12
yao,50,3,60,12
yao,50,4,60,12
yao,50,5,60,12
yao,50,6,60,12
yao,50,7,60,12
yao,50,8,60,12
yao,50,9,60,12
yao,50,10,60,12
