sample_id,annotator_a_path,annotator_b_path,adjudication_path,annotator_a_id,annotator_b_id,adjudicator_id
SCN_dak_0058,reference_complements/annotations/annotator_a/SCN_dak_0058_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0058_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0058_adjudication.npz,A01,B01,J01
SCN_dak_0059,reference_complements/annotations/annotator_a/SCN_dak_0059_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0059_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0059_adjudication.npz,A01,B01,J01
SCN_dak_0060,reference_complements/annotations/annotator_a/SCN_dak_0060_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0060_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0060_adjudication.npz,A01,B01,J01
SCN_dak_0061,reference_complements/annotations/annotator_a/SCN_dak_0061_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0061_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0061_adjudication.npz,A01,B01,J01
SCN_dak_0062,reference_complements/annotations/annotator_a/SCN_dak_0062_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0062_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0062_adjudication.npz,A01,B01,J01
SCN_dak_0063,reference_complements/annotations/annotator_a/SCN_dak_0063_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0063_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0063_adjudication.npz,A01,B01,J01
SCN_dak_0064,reference_complements/annotations/annotator_a/SCN_dak_0064_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0064_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0064_adjudication.npz,A01,B01,J01
SCN_dak_0065,reference_complements/annotations/annotator_a/SCN_dak_0065_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0065_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0065_adjudication.npz,A01,B01,J01
SCN_dak_0066,reference_complements/annotations/annotator_a/SCN_dak_0066_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0066_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0066_adjudication.npz,A01,B01,J01
SCN_dak_0067,reference_complements/annotations/annotator_a/SCN_dak_0067_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0067_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0067_adjudication.npz,A01,B01,J01
SCN_dak_0068,reference_complements/annotations/annotator_a/SCN_dak_0068_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0068_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0068_adjudication.npz,A01,B01,J01
SCN_dak_0069,reference_complements/annotations/annotator_a/SCN_dak_0069_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dak_0069_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dak_0069_adjudication.npz,A01,B01,J01
SCN_dar_0058,reference_complements/annotations/annotator_a/SCN_dar_0058_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0058_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0058_adjudication.npz,A01,B01,J01
SCN_dar_0059,reference_complements/annotations/annotator_a/SCN_dar_0059_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0059_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0059_adjudication.npz,A01,B01,J01
SCN_dar_0060,reference_complements/annotations/annotator_a/SCN_dar_0060_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0060_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0060_adjudication.npz,A01,B01,J01
SCN_dar_0061,reference_complements/annotations/annotator_a/SCN_dar_0061_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0061_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0061_adjudication.npz,A01,B01,J01
SCN_dar_0062,reference_complements/annotations/annotator_a/SCN_dar_0062_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0062_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0062_adjudication.npz,A01,B01,J01
SCN_dar_0063,reference_complements/annotations/annotator_a/SCN_dar_0063_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0063_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0063_adjudication.npz,A01,B01,J01
SCN_dar_0064,reference_complements/annotations/annotator_a/SCN_dar_0064_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0064_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0064_adjudication.npz,A01,B01,J01
SCN_dar_0065,reference_complements/annotations/annotator_a/SCN_dar_0065_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0065_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0065_adjudication.npz,A01,B01,J01
SCN_dar_0066,reference_complements/annotations/annotator_a/SCN_dar_0066_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0066_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0066_adjudication.npz,A01,B01,J01
SCN_dar_0067,reference_complements/annotations/annotator_a/SCN_dar_0067_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0067_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0067_adjudication.npz,A01,B01,J01
SCN_dar_0068,reference_complements/annotations/annotator_a/SCN_dar_0068_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0068_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0068_adjudication.npz,A01,B01,J01
SCN_dar_0069,reference_complements/annotations/annotator_a/SCN_dar_0069_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dar_0069_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dar_0069_adjudication.npz,A01,B01,J01
SCN_dou_0058,reference_complements/annotations/annotator_a/SCN_dou_0058_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0058_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0058_adjudication.npz,A01,B01,J01
SCN_dou_0059,reference_complements/annotations/annotator_a/SCN_dou_0059_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0059_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0059_adjudication.npz,A01,B01,J01
SCN_dou_0060,reference_complements/annotations/annotator_a/SCN_dou_0060_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0060_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0060_adjudication.npz,A01,B01,J01
SCN_dou_0061,reference_complements/annotations/annotator_a/SCN_dou_0061_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0061_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0061_adjudication.npz,A01,B01,J01
SCN_dou_0062,reference_complements/annotations/annotator_a/SCN_dou_0062_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0062_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0062_adjudication.npz,A01,B01,J01
SCN_dou_0063,reference_complements/annotations/annotator_a/SCN_dou_0063_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0063_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0063_adjudication.npz,A01,B01,J01
SCN_dou_0064,reference_complements/annotations/annotator_a/SCN_dou_0064_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0064_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0064_adjudication.npz,A01,B01,J01
SCN_dou_0065,reference_complements/annotations/annotator_a/SCN_dou_0065_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0065_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0065_adjudication.npz,A01,B01,J01
SCN_dou_0066,reference_complements/annotations/annotator_a/SCN_dou_0066_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0066_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0066_adjudication.npz,A01,B01,J01
SCN_dou_0067,reference_complements/annotations/annotator_a/SCN_dou_0067_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0067_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0067_adjudication.npz,A01,B01,J01
SCN_dou_0068,reference_complements/annotations/annotator_a/SCN_dou_0068_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0068_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0068_adjudication.npz,A01,B01,J01
SCN_dou_0069,reference_complements/annotations/annotator_a/SCN_dou_0069_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_dou_0069_annotator_b.npz,reference_complements/annotations/adjudication/SCN_dou_0069_adjudication.npz,A01,B01,J01
SCN_gar_0058,reference_complements/annotations/annotator_a/SCN_gar_0058_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0058_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0058_adjudication.npz,A01,B01,J01
SCN_gar_0059,reference_complements/annotations/annotator_a/SCN_gar_0059_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0059_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0059_adjudication.npz,A01,B01,J01
SCN_gar_0060,reference_complements/annotations/annotator_a/SCN_gar_0060_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0060_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0060_adjudication.npz,A01,B01,J01
SCN_gar_0061,reference_complements/annotations/annotator_a/SCN_gar_0061_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0061_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0061_adjudication.npz,A01,B01,J01
SCN_gar_0062,reference_complements/annotations/annotator_a/SCN_gar_0062_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0062_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0062_adjudication.npz,A01,B01,J01
SCN_gar_0063,reference_complements/annotations/annotator_a/SCN_gar_0063_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0063_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0063_adjudication.npz,A01,B01,J01
SCN_gar_0064,reference_complements/annotations/annotator_a/SCN_gar_0064_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0064_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0064_adjudication.npz,A01,B01,J01
SCN_gar_0065,reference_complements/annotations/annotator_a/SCN_gar_0065_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0065_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0065_adjudication.npz,A01,B01,J01
SCN_gar_0066,reference_complements/annotations/annotator_a/SCN_gar_0066_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0066_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0066_adjudication.npz,A01,B01,J01
SCN_gar_0067,reference_complements/annotations/annotator_a/SCN_gar_0067_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0067_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0067_adjudication.npz,A01,B01,J01
SCN_gar_0068,reference_complements/annotations/annotator_a/SCN_gar_0068_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0068_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0068_adjudication.npz,A01,B01,J01
SCN_gar_0069,reference_complements/annotations/annotator_a/SCN_gar_0069_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_gar_0069_annotator_b.npz,reference_complements/annotations/adjudication/SCN_gar_0069_adjudication.npz,A01,B01,J01
SCN_kig_0058,reference_complements/annotations/annotator_a/SCN_kig_0058_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0058_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0058_adjudication.npz,A01,B01,J01
SCN_kig_0059,reference_complements/annotations/annotator_a/SCN_kig_0059_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0059_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0059_adjudication.npz,A01,B01,J01
SCN_kig_0060,reference_complements/annotations/annotator_a/SCN_kig_0060_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0060_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0060_adjudication.npz,A01,B01,J01
SCN_kig_0061,reference_complements/annotations/annotator_a/SCN_kig_0061_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0061_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0061_adjudication.npz,A01,B01,J01
SCN_kig_0062,reference_complements/annotations/annotator_a/SCN_kig_0062_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0062_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0062_adjudication.npz,A01,B01,J01
SCN_kig_0063,reference_complements/annotations/annotator_a/SCN_kig_0063_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0063_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0063_adjudication.npz,A01,B01,J01
SCN_kig_0064,reference_complements/annotations/annotator_a/SCN_kig_0064_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0064_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0064_adjudication.npz,A01,B01,J01
SCN_kig_0065,reference_complements/annotations/annotator_a/SCN_kig_0065_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0065_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0065_adjudication.npz,A01,B01,J01
SCN_kig_0066,reference_complements/annotations/annotator_a/SCN_kig_0066_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0066_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0066_adjudication.npz,A01,B01,J01
SCN_kig_0067,reference_complements/annotations/annotator_a/SCN_kig_0067_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0067_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0067_adjudication.npz,A01,B01,J01
SCN_kig_0068,reference_complements/annotations/annotator_a/SCN_kig_0068_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0068_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0068_adjudication.npz,A01,B01,J01
SCN_kig_0069,reference_complements/annotations/annotator_a/SCN_kig_0069_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_kig_0069_annotator_b.npz,reference_complements/annotations/adjudication/SCN_kig_0069_adjudication.npz,A01,B01,J01
SCN_yao_0058,reference_complements/annotations/annotator_a/SCN_yao_0058_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0058_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0058_adjudication.npz,A01,B01,J01
SCN_yao_0059,reference_complements/annotations/annotator_a/SCN_yao_0059_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0059_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0059_adjudication.npz,A01,B01,J01
SCN_yao_0060,reference_complements/annotations/annotator_a/SCN_yao_0060_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0060_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0060_adjudication.npz,A01,B01,J01
SCN_yao_0061,reference_complements/annotations/annotator_a/SCN_yao_0061_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0061_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0061_adjudication.npz,A01,B01,J01
SCN_yao_0062,reference_complements/annotations/annotator_a/SCN_yao_0062_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0062_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0062_adjudication.npz,A01,B01,J01
SCN_yao_0063,reference_complements/annotations/annotator_a/SCN_yao_0063_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0063_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0063_adjudication.npz,A01,B01,J01
SCN_yao_0064,reference_complements/annotations/annotator_a/SCN_yao_0064_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0064_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0064_adjudication.npz,A01,B01,J01
SCN_yao_0065,reference_complements/annotations/annotator_a/SCN_yao_0065_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0065_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0065_adjudication.npz,A01,B01,J01
SCN_yao_0066,reference_complements/annotations/annotator_a/SCN_yao_0066_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0066_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0066_adjudication.npz,A01,B01,J01
SCN_yao_0067,reference_complements/annotations/annotator_a/SCN_yao_0067_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0067_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0067_adjudication.npz,A01,B01,J01
SCN_yao_0068,reference_complements/annotations/annotator_a/SCN_yao_0068_annotator_a.npz,reference_complements/annotations/annotator_b/SCN_yao_0068_annotator_b.npz,reference_complements/annotations/adjudication/SCN_yao_0068_adjudication.npz,A01,B01,J01
