sample_id,agreement,positive_iou
SCN_dak_0058,0.972114,0.239645
SCN_dak_0059,0.972656,0.207547
SCN_dak_0060,0.968099,0.272277
SCN_dak_0061,0.970595,0.265583
SCN_dak_0062,0.974175,0.222222
SCN_dak_0063,0.972656,0.202532
SCN_dak_0064,0.975369,0.192171
SCN_dak_0065,0.971354,0.21194
SCN_dak_0066,0.972656,0.265306
SCN_dak_0067,0.97678,0.254355
SCN_dak_0068,0.973199,0.111511
SCN_dak_0069,0.970378,0.3
SCN_dar_0058,0.968967,0.209945
SCN_dar_0059,0.972873,0.230769
SCN_dar_0060,0.972114,0.235119
SCN_dar_0061,0.974067,0.167247
SCN_dar_0062,0.968316,0.280788
SCN_dar_0063,0.97309,0.212698
SCN_dar_0064,0.973307,0.209003
SCN_dar_0065,0.971788,0.285714
SCN_dar_0066,0.975694,0.219512
SCN_dar_0067,0.975152,0.239203
SCN_dar_0068,0.97168,0.232353
SCN_dar_0069,0.972005,0.213415
SCN_dou_0058,0.972439,0.313514
SCN_dou_0059,0.970052,0.206897
SCN_dou_0060,0.972005,0.19375
SCN_dou_0061,0.972222,0.212308
SCN_dou_0062,0.968641,0.2775
SCN_dou_0063,0.972114,0.225904
SCN_dou_0064,0.975152,0.228956
SCN_dou_0065,0.974609,0.204082
SCN_dou_0066,0.97526,0.11284
SCN_dou_0067,0.972765,0.185065
SCN_dou_0068,0.972331,0.30137
SCN_dou_0069,0.974826,0.299094
SCN_gar_0058,0.96951,0.223757
SCN_gar_0059,0.973741,0.203947
SCN_gar_0060,0.974067,0.271341
SCN_gar_0061,0.972114,0.184127
SCN_gar_0062,0.976128,0.249147
SCN_gar_0063,0.972548,0.255882
SCN_gar_0064,0.973416,0.134276
SCN_gar_0065,0.974826,0.29052
SCN_gar_0066,0.970595,0.271505
SCN_gar_0067,0.972439,0.141892
SCN_gar_0068,0.970161,0.298469
SCN_gar_0069,0.972656,0.282051
SCN_kig_0058,0.975477,0.275641
SCN_kig_0059,0.976888,0.216912
SCN_kig_0060,0.971246,0.204204
SCN_kig_0061,0.973416,0.204545
SCN_kig_0062,0.975152,0.199301
SCN_kig_0063,0.974175,0.318052
SCN_kig_0064,0.974392,0.337079
SCN_kig_0065,0.972982,0.209524
SCN_kig_0066,0.973199,0.332432
SCN_kig_0067,0.975369,0.109804
SCN_kig_0068,0.973524,0.2
SCN_kig_0069,0.972656,0.240964
SCN_yao_0058,0.976562,0.368421
SCN_yao_0059,0.972439,0.244048
SCN_yao_0060,0.974501,0.270186
SCN_yao_0061,0.970812,0.199405
SCN_yao_0062,0.973741,0.268882
SCN_yao_0063,0.973958,0.197324
SCN_yao_0064,0.971137,0.191489
SCN_yao_0065,0.974609,0.284404
SCN_yao_0066,0.970161,0.233983
SCN_yao_0067,0.972548,0.295265
SCN_yao_0068,0.969293,0.222527
SCN_yao_0069,0.968533,0.262087
