sample_id,source_bundle,derived_bundle,sha256,height,width,token_size,v12_matches_source,safety_weight_map_status,native_gate_status
SCN_dak_0058,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0058.npz,derived_scene_sidecars/SCN_dak_0058_derived.npz,3f53d6ecb01ab63915fbf34747f4dde88e466a22efcc0fc439f90133d5223f6a,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0059,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0059.npz,derived_scene_sidecars/SCN_dak_0059_derived.npz,d165b992dc2e115851cc4175a756e83fd663e6cbd48bd6327d91c24fc7d0cf09,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0060,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0060.npz,derived_scene_sidecars/SCN_dak_0060_derived.npz,15b28c1940d83fe188454aff6f485fe228deadcca3c04b860797ee61f811a1b6,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0061,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0061.npz,derived_scene_sidecars/SCN_dak_0061_derived.npz,3af79334224f446c61df18a39a2d68d043da91a047f4d260425caf4ba5832655,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0062,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0062.npz,derived_scene_sidecars/SCN_dak_0062_derived.npz,3390605407285bebf4a1938969e72777ea4d76010dcc9d27bdb88a450452c7c4,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0063,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0063.npz,derived_scene_sidecars/SCN_dak_0063_derived.npz,9b75f85d1160e5865100fde6e66d7336841cf05bb3311509fb3e240174dd6075,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0064,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0064.npz,derived_scene_sidecars/SCN_dak_0064_derived.npz,0e3e646ed3449335a03a76e41091a4f2d7601fc0e539e288ee9ecf8d947293b7,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0065,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0065.npz,derived_scene_sidecars/SCN_dak_0065_derived.npz,897ff2ef83dea25f0f967cf8e3ebb922e78048fd3ba9ebfe1f80ac36eed76e13,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0066,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0066.npz,derived_scene_sidecars/SCN_dak_0066_derived.npz,3b39b34dc756e9013061a271d28a3e520b8e42a56683fb808b8005aa2ed72348,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dak_0067,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dak_0067.npz,derived_scene_sidecars/SCN_dak_0067_derived.npz,11cc642fe989fb96214e14a45c894c59b3334a4ff98e978bb0da538c4ba0fff9,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
